seq_beneficiario;dt_inicio_direito;des_categoria;desc_entidade;val_redutor_teto;municipio;uf;dt_requerimento;dt_doc_completa;dt_deferimento;mes_deferimento;dias_uteis_concessao;;;;;;
189062;01/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;4171,65;BELO HORIZONTE;MG;20/12/2024;06/01/2025;07/01/2025;Janeiro;2;;;;;;
189065;24/11/2024;CONJUGE;SECRETARIA DE EDUCACAO;1518;NOVA SERRANA;MG;27/12/2024;07/01/2025;08/01/2025;Janeiro;2;;;;;;
189066;04/11/2024;COMPANHEIRO(A);SECRETARIA DE EDUCACAO;2445,41;TEOFILO OTONI;MG;16/12/2024;06/01/2025;09/01/2025;Janeiro;4;;;;;;
189067;05/10/2024;CONJUGE;SECRETARIA DE EDUCACAO;2649,64;SANTO ANTONIO DO RETIRO;MG;30/12/2024;07/01/2025;08/01/2025;Janeiro;2;;;;;;
189068;09/01/2025;CONJUGE;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;4999,91;PIRANGA;MG;23/12/2024;30/12/2024;09/01/2025;Janeiro;9;;;;;;
189069;28/12/2024;CONJUGE;POLICIA CIVIL;24353,46;BELO HORIZONTE;MG;03/01/2025;06/01/2025;08/01/2025;Janeiro;3;;;;;;
189070;03/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;1518;RIACHO DOS MACHADOS;MG;06/01/2025;08/01/2025;08/01/2025;Janeiro;1;;;;;;
189073;23/10/2012;FILHO(A) INVALIDO(A);DER-DEP.ESTRADAS E RODAGEM MG;2994,9;;;23/10/2012;23/10/2012;08/01/2025;Janeiro;3187;;;;;;
189074;09/12/2024;CONJUGE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM;1870,4;PARA DE MINAS;MG;06/01/2025;08/01/2025;09/01/2025;Janeiro;2;;;;;;
189076;20/10/2024;COMPANHEIRO(A);TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;22994,12;BELO HORIZONTE;MG;25/11/2024;08/01/2025;09/01/2025;Janeiro;2;;;;;;
189077;13/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;5404,5;JUIZ DE FORA;MG;06/01/2025;09/01/2025;09/01/2025;Janeiro;1;;;;;;
189080;25/11/2024;CONJUGE;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;32573,49;MONTES CLAROS;MG;23/12/2024;07/01/2025;10/01/2025;Janeiro;4;;;;;;
189084;17/11/2022;COMPANHEIRO(A);TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;10979,42;UBERLANDIA;MG;01/02/2023;08/01/2025;09/01/2025;Janeiro;2;;;;;;
189085;18/07/2022;COMPANHEIRO(A);SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;3814,24;ARCOS;MG;18/07/2022;08/01/2025;10/01/2025;Janeiro;3;;;;;;
189086;09/11/2024;COMPANHEIRO(A);DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS - DER-MG;1793,53;MARTINHO CAMPOS;MG;29/11/2024;08/01/2025;10/01/2025;Janeiro;3;;;;;;
